번호,시도명,시군구명,동읍면,배출장소,배출장소유형,생활쓰레기배출방법,음식물쓰레기배출방법,재활용품배출방법,일시적다량폐기물배출방법,일시적다량폐기물배출장소,데이터기준일자
2800,경기도,양평군,오빈1리,양평군 양평읍 오빈리 88-47,거점수거,종량제봉투 사용,종량제봉투사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2801,경기도,양평군,오빈2리,양평군 양평읍 오빈리 441-5,거점수거,종량제봉투 사용,종량제봉투사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2802,경기도,양평군,오빈2리,양평군 양평읍 오빈리 356-4,거점수거,종량제봉투 사용,종량제봉투사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2803,경기도,양평군,오빈2리,양평군 양평읍 오빈리 283-1,거점수거,종량제봉투 사용,종량제봉투사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2804,경기도,양평군,오빈2리,양평군 양평읍 오빈리 424-7,거점수거,종량제봉투 사용,종량제봉투사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2805,경기도,양평군,망미1리,경기도 양평군 지평면 대평로 473,거점수거,종량제봉투 사용,종량제봉투사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2806,경기도,양평군,무왕1리,경기도 양평군 지평면 무왕리 441-2,거점수거,종량제봉투 사용,종량제봉투사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2807,경기도,양평군,대평1리,경기도 양평군 지평면 대평리 114-1,거점수거,종량제봉투 사용,종량제봉투사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2808,경기도,양평군,지평2리,경기도 양평군 지평면 지평리 1564,거점수거,종량제봉투 사용,종량제봉투사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2809,경기도,양평군,월산3리,경기도 양평군 지평면 월산리 936-2,거점수거,종량제봉투 사용,종량제봉투사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2810,경기도,양평군,명성2리,경기도 단월면 명성리 342번지(마을회관앞),거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2811,경기도,양평군,향소1리,경기도 단월면 석산로 270(마을회관앞),거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2812,경기도,양평군,서후2리,경기도 양평군 서종면 서후리 161-1,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2813,경기도,양평군,옥천6리,경기도 양평군 옥천면 옥천문화마을길 62,거점수거,종량제봉투 사용,종량제봉투사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2814,경기도,양평군,전수3리,경기도 양평군 강하면 수대길 43,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2815,경기도,양평군,항금리,경기도 양평군 강하면 항금길 49,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2816,경기도,양평군,병산2리,경기도 양평군 강상면 강상로 97,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2817,경기도,양평군,연수1리,양평군 용문면 연수리 320-3,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2818,경기도,양평군,공세2리,양평군 개군면 공세리 104-1,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2819,경기도,양평군,부2리,양평군 개군면 부리 430-32,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2820,경기도,양평군,신원3리,양평군 양서면 신원리 210-2,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2821,경기도,양평군,갈운3리,양평군 청운면 갈운리 1393-4,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2822,경기도,양평군,단석3리,양평군 양동면 단석리 1339,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등 종류에 따라 배출",거점배출시설,2023-12-31
2823,경기도,하남시,하남시,내집앞 내상가앞,문전수거,규격봉투에 넣어 지정된 요일에 배출,수분 및 이물질 제거 후 음식물 전용수거용기에 넣어 납부필증(칩) 부착 후 지정된 요일에 배출,품목별 구분하여 투명한 비닐봉투에 담아 지정된 요일에 배출,대형폐기물 스티커 부착 또는 인터넷신고 납부필증 부착 후 배출,내집앞 내상가앞,2024-12-10
2824,경기도,양평군,마룡1리,마룡리335-2,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2825,경기도,양평군,마룡1리,마룡리658-4,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2826,경기도,양평군,마룡2리,마룡리463-4,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2827,경기도,양평군,화전1리,화전리236-53,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2828,경기도,양평군,삼성1리,삼성리69-9,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2829,경기도,양평군,삼성3리,삼성리286-1,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2830,경기도,양평군,다문1리,다문리548,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2831,경기도,양평군,다문6리,다문리172-23,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2832,경기도,양평군,다문7리,다문리674,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2833,경기도,양평군,광탄1리,광탄리140-1,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2834,경기도,양평군,병산3리,병산리524,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2835,경기도,양평군,송학1리,송학리283-3,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2836,경기도,양평군,세월2리,세월리555,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2837,경기도,양평군,대석1리,대석리167-9,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2838,경기도,양평군,대석2리,대석리292-1,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2839,경기도,양평군,운심2리,운심리 산 15-1,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2840,경기도,양평군,운심2리,운심리 302-1,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2841,경기도,양평군,성덕1리,성덕리 833,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2842,경기도,양평군,성덕2리,성덕리 689-20,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2843,경기도,양평군,전수2리,전수리 1195-26,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2844,경기도,양평군,양근5리,양근리162-5,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2845,경기도,양평군,공흥1리,공흥리281-2,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2846,경기도,양평군,오빈1리,오빈리88-47,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2847,경기도,양평군,오빈2리,오빈리441-5,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2848,경기도,양평군,오빈2리,오빈리356-4,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2849,경기도,양평군,오빈2리,오빈리283-1,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2850,경기도,양평군,오빈2리,오빈리424-7,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2851,경기도,양평군,오빈3리,오빈리226-63,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2852,경기도,양평군,신애1리,새만이길25번길17,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2853,경기도,양평군,원덕2리,원덕리131-4,거점수거,종량제봉투 사용,종량제봉투 사용,재질별 품목별 분리배출,"종량제봉투, 대형폐기물스티커 등",거점배출시설,2024-07-18
2854,경기도,의왕시,장안남북로3길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2855,경기도,의왕시,오봉산단2로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2856,경기도,의왕시,오봉산단3로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2857,경기도,의왕시,괴말길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2858,경기도,의왕시,까치골1길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2859,경기도,의왕시,까치골길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2860,경기도,의왕시,능애고개길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2861,경기도,의왕시,부곡복지관길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2862,경기도,의왕시,부곡시장1길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2863,경기도,의왕시,부곡시장2길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2864,경기도,의왕시,부곡시장3길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2865,경기도,의왕시,부곡시장4길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2866,경기도,의왕시,부곡시장5길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2867,경기도,의왕시,부곡시장길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2868,경기도,의왕시,부곡중앙남1길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2869,경기도,의왕시,부곡중앙남2길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2870,경기도,의왕시,부곡중앙남3길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2871,경기도,의왕시,부곡중앙남4길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2872,경기도,의왕시,부곡중앙남5길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2873,경기도,의왕시,부곡중앙남6길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2874,경기도,의왕시,부곡중앙남7길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2875,경기도,의왕시,부곡중앙북10길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2876,경기도,의왕시,부곡중앙북1길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2877,경기도,의왕시,부곡중앙북2길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2878,경기도,의왕시,부곡중앙북3길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2879,경기도,의왕시,부곡중앙북4길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2880,경기도,의왕시,부곡중앙북5길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2881,경기도,의왕시,부곡중앙북6길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2882,경기도,의왕시,부곡중앙북7길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2883,경기도,의왕시,부곡중앙북8길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2884,경기도,의왕시,부곡중앙북9길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2885,경기도,의왕시,부곡중학길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2886,경기도,의왕시,부곡초등1길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2887,경기도,의왕시,부곡초등2길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2888,경기도,의왕시,부곡초등3길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2889,경기도,의왕시,부곡초등길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2890,경기도,의왕시,솔밭1길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2891,경기도,의왕시,솔밭길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2892,경기도,의왕시,신장승길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2893,경기도,의왕시,장승길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2894,경기도,의왕시,중앙샛길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2895,경기도,의왕시,징계골길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2896,경기도,의왕시,한백이길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2897,경기도,의왕시,장안남북로1길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2898,경기도,의왕시,장안남북로2길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2899,경기도,의왕시,장안남북로4길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2900,경기도,의왕시,장안남북로5길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2901,경기도,의왕시,장안로1길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2902,경기도,의왕시,의왕물류센터-테크노파크,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2903,경기도,의왕시,봇들2길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2904,경기도,의왕시,봇들3길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2905,경기도,의왕시,봇들4길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2906,경기도,의왕시,새터길,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2907,경기도,의왕시,포일어울림센터,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2908,경기도,의왕시,인덕원IT밸리,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2909,경기도,의왕시,에이스청계타워,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2910,경기도,의왕시,포일골프장(포일로128),문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2911,경기도,의왕시,의왕어린이집                                         (안양판교로137),문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2912,경기도,의왕시,청계성당,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2913,경기도,의왕시,벨포레스퀘어(내손중앙로4),문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2914,경기도,의왕시,내손초(내손순환로175),문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2915,경기도,의왕시,내동초(내손로10),문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2916,경기도,의왕시,내손체육공원,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2917,경기도,의왕시,내손2동사무소(복지로189),문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2918,경기도,의왕시,보우상가,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2919,경기도,의왕시,사량채,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2920,경기도,의왕시,포일성당(정우2길8),문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2921,경기도,의왕시,한국전력공사,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2922,경기도,의왕시,안양판교로,문앞,문전수거,종량제봉투에 담아 묶어서 배출,음식물종량제봉투에 담아 묶어서 배출,투명비닐 또는 마대에 담아 묶어서 배출,종량제봉투에 담아 묶어서 배출,문전수거,2024-06-30
2923,경기도,의왕시,오봉산단3로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2924,경기도,의왕시,경수대로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2925,경기도,의왕시,포도원로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2926,경기도,의왕시,호성로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2927,경기도,의왕시,고산로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2928,경기도,의왕시,고천공업로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2929,경기도,의왕시,당뿌리로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2930,경기도,의왕시,문화공원로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2931,경기도,의왕시,백운로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2932,경기도,의왕시,보식골로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2933,경기도,의왕시,오봉로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2934,경기도,의왕시,오전로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2935,경기도,의왕시,오전로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2936,경기도,의왕시,오전천로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2937,경기도,의왕시,오전천로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2938,경기도,의왕시,왕곡로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2939,경기도,의왕시,원골로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2940,경기도,의왕시,효행로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2941,경기도,의왕시,효행로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
2942,경기도,의왕시,모락로,문앞,문전수거,종량제봉투에담아배출,음식물종량제봉투에담아배출,투명비닐에담아배출,종량제봉투에담아배출,문전수거,2024-06-30
